TestName,TestType,TestStage,TestTime,TestHumidity,DayTemperature,NightTemperature,TestLight,Nitrogen,Phosphorus,Potassium
Potato,Loamy,Sprout Development,16,72,25,16,8,61,165,141
Potato,Loamy,Sprout Development,19,74,25,12,8,111,99,271
Potato,Loamy,Sprout Development,17,77,26,16,8,79,151,167
Potato,Loamy,Sprout Development,20,71,18,13,9,57,158,182
Potato,Loamy,Sprout Development,16,73,20,17,9,114,119,131
Potato,Loamy,Sprout Development,16,75,24,16,9,73,141,140
Potato,Loamy,Sprout Development,18,75,25,15,9,40,101,172
Potato,Loamy,Sprout Development,17,70,19,17,10,93,117,212
Potato,Loamy,Sprout Development,18,72,24,15,9,55,105,187
Potato,Loamy,Sprout Development,16,75,21,13,10,116,139,210
Potato,Loamy,Sprout Development,17,77,22,18,8,79,152,234
Potato,Loamy,Sprout Development,15,77,20,18,8,75,169,203
Potato,Loamy,Sprout Development,19,78,27,12,9,116,138,176
Potato,Loamy,Sprout Development,16,71,27,16,8,100,108,181
Potato,Loamy,Sprout Development,20,77,20,18,10,69,106,155
Potato,Loamy,Sprout Development,16,77,20,16,9,124,90,269
Potato,Loamy,Sprout Development,17,76,26,17,9,74,155,172
Potato,Loamy,Sprout Development,15,78,22,17,10,125,127,179
Potato,Loamy,Sprout Development,17,76,20,12,10,115,117,256
Potato,Loamy,Sprout Development,18,75,23,15,9,51,129,140
Potato,Loamy,Sprout Development,20,76,27,13,9,68,128,129
Potato,Loamy,Sprout Development,20,73,25,17,8,63,98,141
Potato,Loamy,Sprout Development,16,76,25,17,9,105,151,198
Potato,Loamy,Sprout Development,16,78,27,18,9,57,142,212
Potato,Loamy,Sprout Development,16,71,24,15,10,56,136,124
Potato,Loamy,Sprout Development,15,70,18,18,10,70,162,175
Potato,Loamy,Sprout Development,17,72,19,16,8,89,122,259
Potato,Loamy,Sprout Development,15,72,25,15,8,76,119,230
Potato,Loamy,Sprout Development,15,76,21,14,9,57,98,294
Potato,Loamy,Sprout Development,20,74,22,14,9,101,116,256
